This file was created using the 201906 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Global.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
200102      ,133.47      ,219.88      ,287.40    ,12300.29    ,12735.27     ,8220.35
200103      ,124.53      ,205.75      ,272.50    ,10550.26    ,11588.55     ,7511.25
200104      ,112.80      ,187.16      ,240.67    ,11604.95     ,9609.37     ,6701.90
200105      ,118.72      ,196.14      ,243.33    ,12001.14    ,11518.28     ,6785.85
200106      ,119.18      ,196.79      ,243.09    ,11420.80    ,11503.73     ,6314.12
200107      ,120.78      ,189.21      ,232.03    ,11933.93     ,9958.72     ,6506.70
200108      ,113.89      ,182.33      ,238.29    ,12108.51    ,10105.15     ,6245.23
200109      ,113.48      ,181.43      ,218.86    ,10052.26    ,10405.21     ,5945.63
200110       ,96.90      ,164.63      ,196.06    ,10710.32     ,9547.25     ,5046.68
200111      ,105.69      ,162.85      ,185.72     ,9614.68    ,10379.75     ,5192.83
200112      ,110.55      ,168.35      ,194.30    ,10702.71    ,10902.25     ,5173.01
200201      ,119.47      ,164.36      ,186.70     ,9706.43    ,11372.23     ,5990.99
200202      ,112.16      ,170.23      ,190.42    ,10584.26    ,10233.90     ,5580.20
200203      ,108.70      ,172.96      ,186.24     ,9218.69    ,10632.13     ,6270.18
200204      ,115.13      ,178.50      ,198.28     ,9941.38    ,11473.49     ,5610.64
200205      ,115.44      ,173.19      ,195.31    ,10254.37     ,9998.82     ,5475.01
200206      ,112.01      ,176.87      ,204.26    ,11728.98     ,8619.34     ,5707.20
200207      ,110.53      ,180.70      ,174.97    ,10684.39     ,8405.62     ,5113.21
200208       ,98.02      ,160.74      ,165.31     ,9603.07     ,7983.40     ,4809.54
200209      ,101.92      ,163.05      ,156.06     ,8719.32     ,8416.95     ,5220.28
200210       ,91.74      ,142.24      ,146.11     ,8832.23     ,7075.29     ,4061.39
200211       ,96.34      ,150.10      ,153.87     ,9715.66     ,7880.62     ,4659.65
200212      ,103.95      ,159.22      ,160.65     ,8848.35     ,9282.54     ,4949.60
200301      ,102.84      ,154.16      ,154.94     ,8287.45     ,8712.04     ,4710.45
200302       ,98.41      ,154.57      ,150.65     ,7479.35     ,8901.88     ,4355.27
200303      ,101.06      ,153.04      ,139.19     ,7446.57     ,8545.10     ,4341.81
200304      ,103.48      ,148.05      ,137.93     ,6252.34     ,9409.07     ,4417.25
200305      ,113.83      ,162.85      ,148.05     ,6090.35    ,10041.76     ,5721.78
200306      ,114.43      ,174.50      ,165.90     ,6444.30     ,9313.04     ,7361.00
200307      ,122.11      ,177.39      ,165.45     ,7962.93     ,8719.81     ,6591.73
200308      ,117.44      ,180.56      ,175.43     ,8205.70     ,8953.56     ,6268.65
200309      ,118.64      ,191.02      ,176.19     ,9496.81     ,8203.63     ,6079.83
200310      ,128.00      ,194.55      ,172.16     ,8641.07     ,8768.94     ,6044.90
200311      ,137.30      ,206.56      ,176.04    ,12140.52     ,7819.32     ,5061.67
200312      ,142.20      ,208.49      ,178.53    ,12389.51     ,8028.87     ,4896.18
200401      ,146.33      ,222.50      ,188.99    ,12425.38     ,8612.50     ,5859.28
200402      ,146.05      ,221.93      ,210.41    ,11708.69     ,8803.45     ,6306.88
200403      ,149.03      ,226.63      ,208.89    ,11977.20     ,9175.85     ,6165.54
200404      ,154.85      ,226.97      ,206.95    ,12100.33     ,8353.47     ,6286.54
200405      ,152.35      ,221.34      ,194.67    ,12124.67     ,8965.72     ,4964.16
200406      ,152.39      ,230.46      ,194.68    ,10951.68     ,9836.01     ,5318.25
200407      ,156.02      ,239.93      ,204.81    ,11773.21     ,9549.61     ,5066.31
200408      ,144.57      ,238.93      ,201.82    ,11878.41     ,8933.65     ,5077.79
200409      ,143.97      ,237.76      ,211.32     ,9199.55    ,10879.96     ,5604.93
200410      ,144.92      ,247.59      ,227.59     ,9164.42    ,10659.60     ,6214.40
200411      ,144.34      ,241.35      ,240.70     ,9806.07    ,10012.70     ,6987.43
200412      ,151.00      ,260.42      ,253.14     ,9840.72    ,10321.50     ,7505.76
200501      ,152.20      ,277.83      ,259.49    ,11678.16    ,10763.08     ,5954.72
200502      ,150.59      ,276.51      ,269.16    ,10840.48    ,10695.97     ,5804.32
200503      ,153.28      ,287.65      ,271.85    ,10911.46    ,11532.56     ,5415.13
200504      ,152.01      ,282.02      ,259.02    ,10533.63    ,10419.80     ,6574.24
200505      ,151.65      ,272.02      ,249.23    ,11262.40    ,10074.67     ,5749.94
200506      ,157.95      ,274.51      ,240.81     ,9736.50    ,11476.91     ,6123.74
200507      ,164.23      ,276.65      ,245.99     ,9686.59    ,10942.77     ,6562.67
200508      ,159.80      ,288.03      ,268.51    ,11850.24    ,10167.85     ,6131.21
200509      ,158.36      ,291.50      ,269.09    ,12189.25    ,10298.98     ,5830.72
200510      ,169.08      ,286.07      ,268.96    ,11710.60    ,10627.99     ,6590.61
200511      ,165.45      ,279.48      ,265.34    ,11608.59    ,10022.05     ,6934.10
200512      ,173.88      ,287.77      ,265.75     ,9695.91    ,11784.86     ,7436.61
200601      ,176.88      ,286.64      ,280.30     ,9897.64    ,11791.62     ,7770.68
200602      ,185.12      ,315.21      ,292.83     ,9950.92    ,12100.90     ,8270.70
200603      ,176.18      ,310.97      ,306.33    ,11288.65    ,11481.22     ,7668.61
200604      ,180.90      ,318.38      ,315.03    ,10945.72    ,12077.96     ,7556.63
200605      ,179.04      ,318.86      ,331.05    ,13150.18    ,10883.38     ,7822.36
200606      ,180.74      ,292.76      ,296.01    ,11099.70    ,11958.53     ,7424.66
200607      ,190.46      ,289.78      ,276.72    ,10861.62    ,11908.92     ,7887.45
200608      ,184.04      ,298.33      ,279.36    ,10502.82    ,12544.26     ,8270.68
200609      ,191.53      ,312.45      ,281.68     ,8929.83    ,13630.16     ,9242.36
200610      ,188.34      ,312.80      ,293.10     ,9538.72    ,13549.15     ,9394.71
200611      ,194.61      ,334.89      ,305.95    ,10516.68    ,13762.80     ,9317.83
200612      ,201.11      ,332.11      ,315.10    ,11164.36    ,13453.55     ,9934.48
200701      ,202.66      ,338.01      ,322.63    ,11372.57    ,13704.73    ,10076.48
200702      ,210.69      ,343.73      ,321.63    ,11011.83    ,12993.51    ,12008.30
200703      ,213.44      ,348.56      ,305.61    ,11174.87    ,13051.76    ,11205.67
200704      ,218.92      ,351.41      ,306.66    ,10604.67    ,14508.23    ,10532.25
200705      ,222.51      ,357.81      ,336.73    ,11293.46    ,14578.84    ,11561.25
200706      ,226.21      ,376.25      ,345.10    ,11695.22    ,14875.94    ,11920.27
200707      ,228.44      ,366.66      ,328.58    ,12184.22    ,14449.21    ,11109.17
200708      ,219.30      ,341.78      ,320.88    ,13127.38    ,13892.76     ,9740.20
200709      ,223.77      ,321.64      ,301.48    ,13030.77    ,14305.26    ,10183.41
200710      ,227.86      ,336.68      ,327.32    ,12625.71    ,15518.07    ,11802.81
200711      ,237.02      ,340.69      ,330.33    ,12831.27    ,15223.27    ,13673.93
200712      ,222.01      ,324.79      ,318.51    ,11145.09    ,15853.82    ,13421.19
200801      ,222.89      ,308.61      ,307.55     ,9845.40    ,15576.93    ,14356.33
200802      ,202.01      ,284.33      ,290.79     ,9495.93    ,12797.87    ,15499.60
200803      ,206.64      ,290.45      ,281.00     ,7954.62    ,13646.98    ,15624.43
200804      ,208.06      ,279.53      ,269.45     ,8607.40    ,13767.73    ,14530.57
200805      ,209.64      ,293.68      ,301.13     ,9128.99    ,14545.55    ,15832.92
200806      ,206.60      ,313.07      ,311.53     ,8744.45    ,14911.71    ,15858.16
200807      ,184.48      ,298.53      ,300.63     ,8721.21    ,13884.80    ,13853.64
200808      ,179.17      ,276.52      ,299.80     ,8916.87    ,14024.18    ,12909.72
200809      ,174.04      ,264.68      ,291.40     ,8745.09    ,13640.20    ,12714.34
200810      ,148.64      ,242.50      ,265.57     ,7826.90    ,13310.84     ,9899.16
200811      ,121.05      ,195.63      ,204.76     ,6620.02     ,9995.78    ,10366.21
200812      ,109.89      ,175.13      ,201.95     ,6102.21     ,8701.94    ,11143.90
200901      ,119.46      ,184.23      ,209.64     ,6518.25     ,9175.80    ,10982.45
200902      ,105.57      ,173.10      ,207.70     ,5539.27     ,8455.76    ,10243.68
200903       ,93.30      ,158.53      ,185.34     ,4919.53     ,7800.32     ,9199.87
200904      ,106.96      ,157.62      ,180.48     ,5460.22     ,8477.51     ,9299.18
200905      ,121.08      ,181.57      ,189.15     ,6688.03    ,10010.36     ,8170.41
200906      ,128.23      ,207.26      ,212.29     ,6677.35    ,11664.21     ,7822.46
200907      ,130.84      ,199.16      ,219.55     ,6990.19    ,10816.10     ,8362.42
200908      ,143.06      ,219.13      ,225.71     ,8436.55    ,11332.95     ,8976.32
200909      ,150.79      ,238.71      ,225.21     ,8343.87    ,11809.75     ,9330.49
200910      ,155.22      ,258.18      ,233.94    ,10101.98    ,12152.79     ,8438.23
200911      ,156.63      ,233.57      ,228.33    ,14582.27     ,9973.04     ,6403.27
200912      ,163.13      ,228.79      ,239.36    ,14053.61    ,11089.86     ,7468.61
201001      ,177.43      ,240.51      ,227.43    ,13000.68    ,11539.96     ,8558.72
201002      ,159.78      ,231.80      ,245.45    ,11814.23    ,10816.32     ,8719.13
201003      ,160.28      ,243.84      ,246.45    ,11884.83    ,11865.06     ,7744.07
201004      ,170.70      ,259.54      ,261.68    ,11746.47    ,13255.49     ,8052.47
201005      ,172.38      ,275.12      ,259.67    ,10464.55    ,13699.77     ,7775.43
201006      ,151.05      ,250.00      ,236.22    ,11704.16    ,11354.70     ,6172.74
201007      ,145.85      ,245.48      ,229.42    ,10956.66    ,10836.61     ,6465.36
201008      ,165.14      ,251.23      ,240.41    ,12441.14    ,11812.97     ,6742.90
201009      ,155.76      ,253.52      ,233.75    ,11747.64    ,11113.74     ,7245.76
201010      ,181.31      ,263.46      ,256.03    ,11629.34    ,12143.99     ,9092.51
201011      ,174.13      ,296.67      ,284.91    ,13570.57    ,12596.77     ,8037.70
201012      ,171.98      ,278.19      ,288.69    ,14079.51    ,11674.33     ,7455.96
201101      ,187.62      ,282.51      ,285.24    ,13347.80    ,13322.14     ,8079.51
201102      ,178.00      ,309.16      ,307.33    ,14360.20    ,13232.92     ,8513.45
201103      ,199.96      ,313.86      ,296.89    ,14094.36    ,13642.96     ,9527.66
201104      ,202.47      ,315.76      ,282.23    ,13095.57    ,13611.74     ,9947.36
201105      ,205.89      ,332.93      ,307.88    ,14239.89    ,13923.74    ,10363.40
201106      ,197.74      ,340.55      ,295.51    ,13494.63    ,14285.21     ,9798.34
201107      ,198.96      ,325.05      ,297.52    ,12819.24    ,15027.12     ,9028.68
201108      ,195.73      ,309.82      ,296.61    ,12584.96    ,14482.33     ,8874.20
201109      ,181.49      ,283.77      ,267.74    ,11789.09    ,13252.02     ,8467.16
201110      ,170.15      ,253.21      ,230.67     ,8923.34    ,12606.78     ,9183.39
201111      ,195.24      ,265.53      ,250.68     ,9615.21    ,12804.53    ,12281.29
201112      ,183.49      ,268.81      ,254.16     ,9313.72    ,12670.26    ,12068.64
201201      ,192.12      ,261.11      ,239.89     ,8622.39    ,13117.75    ,12117.29
201202      ,189.20      ,286.72      ,270.57     ,9568.00    ,12435.73    ,13478.90
201203      ,191.77      ,309.24      ,287.65    ,10091.12    ,13329.37    ,13792.31
201204      ,201.87      ,294.57      ,291.82     ,9483.37    ,13108.38    ,15343.39
201205      ,192.91      ,292.88      ,293.76     ,8973.22    ,13239.41    ,15228.47
201206      ,179.07      ,267.82      ,257.29     ,7845.06    ,12767.52    ,13489.68
201207      ,188.85      ,278.14      ,255.97     ,8835.48    ,12516.60    ,14754.34
201208      ,183.70      ,282.74      ,284.92     ,8791.91    ,13445.50    ,14516.77
201209      ,189.07      ,290.24      ,304.49     ,8788.29    ,14418.82    ,14307.61
201210      ,190.24      ,319.37      ,316.04     ,9719.62    ,15846.00    ,12407.95
201211      ,192.30      ,301.16      ,306.55     ,9472.37    ,15540.78    ,13051.51
201212      ,194.10      ,310.13      ,304.34    ,10226.08    ,15534.13    ,13065.05
201301      ,201.94      ,316.17      ,322.27    ,10838.04    ,15851.65    ,12646.12
201302      ,211.35      ,340.64      ,350.95    ,11512.54    ,17655.35    ,11764.65
201303      ,202.12      ,353.97      ,351.72    ,11845.42    ,16604.91    ,12806.90
201304      ,204.50      ,368.29      ,376.11    ,12790.13    ,16233.50    ,13251.95
201305      ,202.35      ,399.91      ,391.87    ,14017.26    ,15466.84    ,14852.49
201306      ,206.19      ,412.89      ,396.19    ,14097.20    ,15826.89    ,14387.12
201307      ,198.46      ,407.49      ,363.74    ,15670.80    ,15075.71    ,12289.65
201308      ,210.21      ,411.36      ,388.04    ,16662.73    ,16283.01    ,12165.73
201309      ,205.70      ,400.29      ,384.59    ,16700.30    ,15509.22    ,11537.65
201310      ,219.89      ,410.00      ,386.28    ,17283.30    ,16521.35    ,11372.90
201311      ,227.08      ,419.33      ,406.10    ,17759.29    ,17774.33    ,11699.57
201312      ,227.06      ,419.65      ,404.88    ,17023.76    ,18315.75    ,12378.57
201401      ,229.28      ,436.73      ,407.55    ,16065.51    ,19392.52    ,13183.61
201402      ,223.12      ,415.79      ,407.41    ,16246.57    ,17735.95    ,12457.33
201403      ,245.29      ,408.91      ,393.98    ,17014.14    ,17747.02    ,14501.48
201404      ,247.97      ,402.63      ,380.90    ,16693.19    ,18735.56    ,13134.42
201405      ,239.85      ,401.70      ,376.94    ,16788.35    ,20337.65    ,11526.51
201406      ,260.74      ,418.25      ,367.01    ,15735.86    ,20239.96    ,13627.14
201407      ,277.61      ,426.55      ,355.04    ,16286.51    ,19474.51    ,14080.08
201408      ,261.61      ,422.56      ,353.43    ,16890.60    ,17889.63    ,14650.89
201409      ,283.25      ,416.96      ,351.15    ,13760.53    ,20122.13    ,16015.34
201410      ,276.43      ,400.81      ,334.70    ,12860.63    ,20444.37    ,15849.28
201411      ,286.19      ,397.57      ,318.05    ,12469.82    ,19200.40    ,18036.18
201412      ,287.38      ,371.40      ,356.96    ,13448.19    ,19558.55    ,18453.42
201501      ,281.15      ,386.84      ,339.78    ,12955.86    ,18315.07    ,19092.80
201502      ,249.81      ,425.54      ,388.88    ,13088.80    ,19022.89    ,17245.16
201503      ,263.90      ,436.23      ,406.34    ,13674.84    ,19938.67    ,18776.28
201504      ,259.90      ,448.72      ,413.15    ,13159.24    ,20477.84    ,17367.12
201505      ,252.49      ,475.20      ,440.72    ,16025.41    ,19580.37    ,16467.64
201506      ,259.55      ,460.83      ,421.88    ,14725.24    ,20276.65    ,16376.13
201507      ,254.34      ,470.36      ,402.64    ,13673.73    ,19438.55    ,16001.30
201508      ,240.03      ,459.02      ,435.97    ,16170.37    ,19621.78    ,15198.91
201509      ,232.96      ,437.12      ,418.18    ,13875.79    ,18859.89    ,14487.10
201510      ,212.78      ,392.76      ,421.77    ,15124.60    ,18632.02    ,11636.27
201511      ,244.28      ,386.41      ,411.92    ,14955.79    ,21128.79    ,12741.68
201512      ,237.44      ,398.70      ,420.56    ,14460.57    ,20311.17    ,13550.08
201601      ,234.10      ,407.27      ,397.75    ,14883.03    ,18718.33    ,14247.99
201602      ,221.96      ,355.09      ,364.99    ,12958.02    ,18277.47    ,14460.66
201603      ,242.69      ,330.48      ,337.07    ,11688.58    ,17819.94    ,15527.92
201604      ,265.60      ,355.83      ,339.07    ,13195.39    ,18223.36    ,16243.31
201605      ,254.54      ,366.10      ,364.69    ,13327.12    ,18516.12    ,15963.51
201606      ,266.57      ,370.48      ,347.88    ,13582.18    ,19179.89    ,15022.07
201607      ,256.36      ,358.44      ,361.91    ,13552.27    ,18118.00    ,15854.14
201608      ,273.51      ,379.13      ,358.58    ,15228.62    ,18304.26    ,16015.50
201609      ,263.46      ,370.09      ,384.54    ,14107.13    ,18249.86    ,17168.55
201610      ,261.91      ,388.11      ,390.96    ,14424.49    ,20116.48    ,13837.35
201611      ,259.31      ,374.74      ,365.84    ,15049.62    ,20084.11    ,12293.12
201612      ,281.96      ,385.33      ,340.84    ,13664.07    ,20349.64    ,13967.16
201701      ,273.72      ,389.16      ,362.80    ,16604.93    ,20783.63    ,11537.08
201702      ,259.58      ,409.87      ,391.72    ,18603.42    ,19401.17    ,12707.35
201703      ,267.44      ,430.35      ,384.08    ,18209.76    ,19746.10    ,14088.85
201704      ,283.82      ,431.57      ,376.01    ,14862.51    ,22344.38    ,14799.98
201705      ,280.39      ,453.64      ,390.26    ,15187.38    ,22020.41    ,16042.56
201706      ,273.58      ,473.44      ,400.87    ,16191.17    ,22072.06    ,16270.59
201707      ,270.81      ,475.38      ,417.02    ,17217.49    ,19638.69    ,17831.06
201708      ,282.08      ,485.83      ,411.56    ,18177.83    ,20825.99    ,16698.35
201709      ,283.05      ,488.52      ,412.82    ,17887.57    ,20557.97    ,17303.43
201710      ,302.82      ,492.67      ,423.45    ,17925.15    ,20126.84    ,18789.43
201711      ,284.34      ,501.76      ,458.25    ,17939.48    ,22385.77    ,17152.55
201712      ,314.78      ,492.23      ,443.28    ,18713.40    ,20503.36    ,19985.98
201801      ,326.57      ,493.98      ,427.27    ,18274.98    ,21863.97    ,19075.22
201802      ,320.76      ,540.99      ,473.78    ,18185.66    ,23401.99    ,20875.69
201803      ,319.56      ,516.25      ,437.34    ,17570.65    ,22015.88    ,20314.84
201804      ,314.16      ,495.44      ,426.84    ,18376.41    ,20494.87    ,20044.25
201805      ,329.43      ,483.50      ,406.25    ,18148.58    ,22372.37    ,18071.19
201806      ,319.45      ,478.67      ,429.15    ,19026.98    ,19903.85    ,20094.92
201807      ,315.42      ,462.70      ,428.04    ,18621.43    ,20092.66    ,19868.08
201808      ,312.47      ,482.25      ,454.08    ,19263.50    ,21542.44    ,19901.46
201809      ,304.58      ,515.44      ,467.13    ,17693.67    ,23346.62    ,20253.50
201810      ,311.45      ,491.17      ,470.38    ,18307.99    ,22516.12    ,21897.96
201811      ,288.02      ,434.54      ,440.96    ,15101.00    ,21788.12    ,21353.76
201812      ,290.77      ,428.01      ,440.28    ,14167.29    ,22836.27    ,21846.81
201901      ,269.54      ,414.23      ,399.15    ,12753.89    ,21332.72    ,20504.81
201902      ,276.83      ,458.97      ,436.85    ,13927.36    ,22019.58    ,23062.64
201903      ,286.16      ,481.73      ,485.27    ,14762.73    ,24922.84    ,20107.36
201904      ,281.49      ,482.64      ,512.77    ,13950.98    ,25088.87    ,22667.41
201905      ,310.99      ,476.77      ,480.45    ,14220.74    ,26459.26    ,23116.18
201906      ,292.99      ,465.28      ,454.61    ,12071.84    ,24040.63    ,24155.48
